Faixa,CA,Processo,Coordenador,Instituição,UF,Região,Recomendação CA,Aprovação,Custeio.Aprov,Capital.Aprov,Bolsas.Aprov,Total.Aprovado
Faixa A,SA,407600/2023-0,Francisco Jablinski Castelhano,UFRN,RN,NE,Recomendada,Aprovada,19000,30000,0,49000
Faixa A,SA,403780/2023-3,Roberto Marques Neto,UFJF,MG,SE,Recomendada,Aprovada,38000,9000,0,47000
Faixa A,SA,409268/2023-2,Edson Batista da Silva,UEG,GO,CO,Recomendada,Aprovada,24500,25000,0,49500
Faixa A,SA,408935/2023-5,Juliana Maria Oliveira Silva,URCA,CE,NE,Recomendada,Aprovada,23760,14000,9240,47000
Faixa A,SA,404496/2023-7,Jairo Valdati,UDESC,SC,SU,Recomendada,Aprovada,2500,30000,0,32500
Faixa A,SA,421617/2023-3,Marcelo Rodrigues Mendonca,UFG,GO,CO,Recomendada,Aprovada,40500,25500,0,66000
Faixa A,SA,421838/2023-0,Marcelo Accioly Teixeira de Oliveira,UFSC,SC,SU,Recomendada,Aprovada,31000,16000,0,47000
Faixa A,SA,402849/2023-0,Gutemberg de Vilhena Silva,UNIFAP,AP,NO,Recomendada,Aprovada,115500,0,0,115500
Faixa A,SA,405592/2023-0,Nina Simone Vilaverde Moura,UFRGS,RS,SU,Recomendada,Aprovada,12500,6000,0,18500
Faixa A,SA,402413/2023-7,William Zanete Bertolini,UFFS,SC,SU,Recomendada,Aprovada,32000,9000,0,41000
Faixa A,SA,403086/2023-0,Rafael Albuquerque Xavier,UEPB,PB,NE,Recomendada,Aprovada,27000,20000,0,47000
Faixa A,SA,405310/2023-4,Marcelo de Oliveira Latuf,UNIFAL/MG,MG,SE,Recomendada,Aprovada,18000,6000,0,24000
Faixa A,SA,402523/2023-7,Sergio Fajardo,UNICENTRO,PR,SU,Recomendada,Aprovada,2560,24800,0,27360
Faixa A,SA,403614/2023-6,Ricardo Barbosa da Silva,UNIFESP,SP,SE,Recomendada,Aprovada,31860,17640,0,49500
Faixa A,SA,420321/2023-3,Maria Dulce Picanco Bentes Sobrinha,UFRN,RN,NE,Recomendada,Aprovada,79870,22900,0,102770
Faixa A,SA,409872/2023-7,Rafael Zilio Fernandes,UFOPA,PA,NO,Recomendada,Aprovada,31000,30000,0,61000
Faixa A,SA,408482/2023-0,Erika Vanessa Moreira,UFF,RJ,SE,Recomendada,Aprovada,34000,22000,9240,65240
Faixa A,SA,421608/2023-4,Monika Richter,UFF,RJ,SE,Recomendada,Aprovada,44600,32500,25200,102300
Faixa A,SA,404934/2023-4,Demostenes Andrade de Moraes,UFCG,PB,NE,Recomendada,Aprovada,61000,16050,0,77050
Faixa A,SA,402662/2023-7,Suya Quintslr,UFRJ,RJ,SE,Recomendada,Aprovada,37958,13000,13860,64818
Faixa A,SA,401592/2023-5,Jasmine Cardozo Moreira,UEPG,PR,SU,Recomendada,Aprovada,30000,5200,14300,49500
Faixa A,SA,421676/2023-0,Juliana Cristina Franz,FURG,RS,SU,Recomendada,Aprovada,24800,7900,0,32700
Faixa A,SA,403682/2023-1,Flavia da Fonseca Feitosa,UFABC,SP,SE,Recomendada,Aprovada,15164,16250,81120,112534
Faixa A,SA,405941/2023-4,Gilcileide Rodrigues da Silva,UFAL,AL,NE,Recomendada,Aprovada,30500,19000,0,49500
Faixa A,SA,406273/2023-5,Reinaldo Correa Costa,INPA,AM,NO,Recomendada,Aprovada,16300,8000,0,24300
Faixa A,SA,406448/2023-0,Eliane Guaraldo,UFMS,MS,CO,Recomendada,Aprovada,6550,16500,11550,34600
Faixa A,SA,409541/2023-0,Glaucia dos Santos Marcondes,NEPO,SP,SE,Recomendada,Aprovada,7602.9,0,6720,14322.9
Faixa A,SA,420566/2023-6,Rafaela Fabiana Ribeiro Delcol,UFMS,MS,CO,Recomendada,Aprovada,54500,7000,0,61500
Faixa A,SA,409992/2023-2,Roseane da Conceicao Costa Norat,UFPA,PA,NO,Recomendada,Aprovada,15000,25000,0,40000
Faixa A,SA,405280/2023-8,Raimundo Jucier Sousa de Assis,UFPI,PI,NE,Recomendada,Aprovada,20000,14242,0,34242
Faixa A,SA,408362/2023-5,Silvana Pirillo Ramos,UFAL,AL,NE,Recomendada,Aprovada,20000,20000,0,40000
Faixa A,SA,403106/2023-0,Vera Lucia Steiner,UCS,RS,SU,Recomendada,Aprovada,18500,8000,0,26500
Faixa A,SA,404459/2023-4,Julia Celia Mercedes Strauch,IBGE,RJ,SE,Recomendada,Aprovada,18580,30000,0,48580
Faixa A,SA,408030/2023-2,Monica Elisa Dias Pons,UFSM,RS,SU,Recomendada,Aprovada,30000,0,0,30000
Faixa A,SA,409030/2023-6,Cynthia Harumy Watanabe Correa,USP,SP,SE,Recomendada,Aprovada,25000,4000,0,29000
Faixa A,SA,402167/2023-6,Raquel Garcia Goncalves,UFMG,MG,SE,Recomendada,Aprovada,51841,10000,0,61841
Faixa A,SA,405698/2023-2,Marcelino de Souza,UFRGS,RS,SU,Recomendada,Aprovada,25000,8150,0,33150
Faixa A,SA,407325/2023-9,Michel Bregolin,UCS,RS,SU,Recomendada,Aprovada,27738,0,0,27738
Faixa A,SA,402934/2023-7,Marcelo da Silva Taveira,UFRN,RN,NE,Recomendada,Aprovada,20000,15000,9240,44240
Faixa A,SA,409464/2023-6,Karine Daufenbach,UFSC,SC,SU,Recomendada,Aprovada,12260,8060,10080,30400
Faixa A,SA,421600/2023-3,Francisco Coelho Mendes,UFPB,PB,NE,Recomendada,Aprovada,20000,0,9240,29240
Faixa A,SA,408237/2023-6,Juliana Michaello Macedo Dias,UFAL,AL,NE,Recomendada,Aprovada,6140,5000,13860,25000
Faixa A,SA,421528/2023-0,Egon Vettorazzi,UNILA,PR,SU,Recomendada,Aprovada,8000,22000,0,30000
Faixa A,SA,409573/2023-0,Gustavo Henrique Naves Givisiez,UFF,RJ,SE,Recomendada,Aprovada,9548.6,0,0,9548.6
Faixa A,SA,404303/2023-4,Ines El-Jaick Andrade,FIOCRUZ,RJ,SE,Recomendada,Aprovada,20960,2500,1540,25000
Faixa A,SA,408367/2023-7,Euler Sandeville Junior,USP,SP,SE,Recomendada,Aprovada,10960,2700,0,13660
Faixa A,SA,420965/2023-8,Ivan Bursztyn,UFRJ,RJ,SE,Recomendada,Aprovada,25000,10000,0,35000
Faixa A,SA,406328/2023-4,Ana Paula Lisboa Sohn,UNIVALI,SC,SU,Recomendada,Aprovada,17000,6000,0,23000
Faixa A,SA,403158/2023-0,Rosana Munoz,UFBA,BA,NE,Recomendada,Aprovada,5000,15000,0,20000
Faixa A,SA,421900/2023-7,Renata Maria Abrantes Baracho Porto,UFMG,MG,SE,Recomendada,Aprovada,15000,0,0,15000
Faixa A,SA,406131/2023-6,Marcos Vinicius Teles Guimaraes,CMPPC,MG,SE,Recomendada,Aprovada,7380,8000,4620,20000
Faixa A,SA,408572/2023-0,William D Andrea Fonseca,UFSM,RS,SU,Recomendada,Aprovada,13340,8000,0,21340
Faixa B,SA,403696/2023-2,Waterloo Pereira Filho,UFSM,RS,SU,Recomendada,Aprovada,50000,14600,16800,81400
Faixa B,SA,403380/2023-5,Antonio Jose Teixeira Guerra,UFRJ,RJ,SE,Recomendada,Aprovada,31520,32000,18480,82000
Faixa B,SA,405019/2023-8,Paulo Cesar da Costa Gomes,UFRJ,RJ,SE,Recomendada,Aprovada,55000,25000,59520,139520
Faixa B,SA,421413/2023-9,Osmar Abilio de Carvalho Junior,UnB,DF,CO,Recomendada,Aprovada,0,56200,25200,81400
Faixa B,SA,407357/2023-8,Juliana de Paula Silva,UEM,PR,SU,Recomendada,Aprovada,60000,21400,0,81400
Faixa B,SA,409164/2023-2,Eugenia Cristina Goncalves Pereira,UFPE,PE,NE,Recomendada,Aprovada,53280,0,27720,81000
Faixa B,SA,403266/2023-8,Ana Luiza Coelho Netto,UFRJ,RJ,SE,Recomendada,Aprovada,60000,21000,0,81000
Faixa B,SA,405635/2023-0,Eve-Anne Buhler,UFRJ,RJ,SE,Recomendada,Aprovada,100000,15000,0,115000
Faixa B,SA,408196/2023-8,Maria do Livramento Miranda Clementino,UFRN,RN,NE,Recomendada,Aprovada,121000,35000,0,156000
Faixa B,SA,406215/2023-5,Marga Eliz Pontelli,UNIOESTE,PR,SU,Recomendada,Aprovada,81400,0,0,81400
Faixa B,SA,405630/2023-9,Antonio Carlos de Barros Correa,UFPE,PE,NE,Recomendada,Aprovada,60000,21000,0,81000
Faixa B,SA,408386/2023-1,Jonas Otaviano Praca de Souza,UFPB,PB,NE,Recomendada,Aprovada,35000,46400,0,81400
Faixa B,SA,401887/2023-5,Tadeu Pereira Alencar Arrais,UFG,GO,CO,Recomendada,Aprovada,40000,25000,52920,117920
Faixa B,SA,402022/2023-8,Monica Santos Salgado,UFRJ,RJ,SE,Recomendada,Aprovada,24800,0,25200,50000
Faixa B,SA,404194/2023-0,Marcelo Gomes Ribeiro,UFRJ,RJ,SE,Recomendada,Aprovada,0,0,85680,85680
Faixa B,SA,401675/2023-8,Denise Morado Nascimento,UFMG,MG,SE,Recomendada,Aprovada,42520,32080,89400,164000
Faixa B,SA,408154/2023-3,Vicente Eudes Lemos Alves,UNICAMP,SP,SE,Recomendada,Aprovada,60000,14800,27720,102520
Faixa B,SA,405549/2023-7,Ana Cristina de Almeida Fernandes,UFPE,PE,NE,Recomendada,Aprovada,80000,0,40320,120320
Faixa B,SA,406357/2023-4,Heloisa Soares de Moura Costa,UFMG,MG,SE,Recomendada,Aprovada,21500,0,135460,156960
Faixa B,SA,403254/2023-0,Camila Goncalves de Oliveira Rodrigues,UFRRJ,RJ,SE,Recomendada,Aprovada,80000,7600,23100,110700
Faixa B,SA,403757/2023-1,Jeroen Johannes Klink,UFABC,SP,SE,Recomendada,Aprovada,0,0,187200,187200
Faixa B,SA,408864/2023-0,Juliana Nunes Rodrigues,UFF,RJ,SE,Recomendada,Aprovada,45000,45000,23520,113520
Faixa B,SA,420924/2023-0,Raul Borges Guimaraes,UNESP,SP,SE,Recomendada,Aprovada,48000,30000,35280,113280
Faixa B,SA,408683/2023-6,Gloria Cecilia dos Santos Figueiredo,UFBA,BA,NE,Recomendada,Aprovada,83165.4,22200,18480,123845.4
Faixa B,SA,408470/2023-2,Andre Reyes Novaes,UERJ,RJ,SE,Recomendada,Aprovada,65000,25000,26880,116880
Faixa B,SA,421241/2023-3,Jose Ricardo Vargas de Faria,UFPR,PR,SU,Recomendada,Aprovada,28500,0,121680,150180
Faixa B,SA,421537/2023-0,Danielle de Melo Rocha,UFPE,PE,NE,Recomendada,Aprovada,40320,20000,47880,108200
Faixa B,SA,408190/2023-0,Catia Antonia da Silva,UERJ,RJ,SE,Recomendada,Aprovada,76479,15000,0,91479
Faixa B,SA,408421/2023-1,Luana Junqueira Dias Myrrha,UFRN,RN,NE,Recomendada,Aprovada,51745.8,0,0,51745.8
Faixa B,SA,408037/2023-7,Roberta Vieira Goncalves de Souza,UFMG,MG,SE,Recomendada,Aprovada,18800,10000,11200,40000
Faixa B,SA,406178/2023-2,Luis Antonio Coelho Ferla,UNIFESP,SP,SE,Recomendada,Aprovada,5000,17360,17640,40000
Faixa B,SA,406813/2023-0,Guilherme Carlos Lassance dos Santos Abreu,UFRJ,RJ,SE,Recomendada,Aprovada,0,26600,8400,35000
Faixa B,SA,408654/2023-6,Eneida Maria Souza Mendonca,UFES,ES,SE,Recomendada,Aprovada,25760,0,9240,35000
Faixa B,SA,421340/2023-1,Angelita Alves de Carvalho,IBGE,RJ,SE,Recomendada,Aprovada,29771.22,0,16800,46571.22
Faixa B,SA,409575/2023-2,Wilker Ricardo de Mendonca Nobrega,UFRN,RN,NE,Recomendada,Aprovada,70000,8696,11550,90246
Faixa B,SA,421731/2023-0,Natacha Silva Araujo Rena,FACE UFMG,MG,SE,Recomendada,Aprovada,0,30000,0,30000
Faixa B,SA,404038/2023-9,Caroline Ciliane Ceretta,UFSM,RS,SU,Recomendada,Aprovada,44831,0,13860,58691
Faixa B,SA,407846/2023-9,Suzann Flavia Cordeiro de Lima,UFAL,AL,NE,Recomendada,Aprovada,26560,10000,13440,50000
Faixa B,SA,420966/2023-4,Jorge Daniel de Melo Moura,UEL,PR,SU,Recomendada,Aprovada,10000,20000,0,30000
Faixa B,SA,405908/2023-7,Arthur Simoes Caetano Cabral,UNESP,SP,SE,Recomendada,Aprovada,23159,2800,0,25959
Faixa B,SA,404270/2023-9,Maria Angelica da Silva,UFAL,AL,NE,Recomendada,Aprovada,25000,25000,0,50000
Faixa B,SA,406603/2023-5,Ranny Loureiro Xavier Nascimento Michalski,USP,SP,SE,Recomendada,Aprovada,5000,15000,0,20000
Faixa B,SA,402389/2023-9,Eduardo Rocha,UFPEL,RS,SU,Recomendada,Aprovada,17200,0,2800,20000
Faixa B,SA,420422/2023-4,Manoel Antonio Lopes Rodrigues Alves,FA - UK LEUVEN,SP,SE,Recomendada,Aprovada,10000,10000,0,20000
Faixa B,SA,406500/2023-1,Paula Barros,THSG,MG,SE,Recomendada,Aprovada,10000,10000,0,20000
Faixa B,SA,407014/2023-3,Solange Maria Leder,UFPB,PB,NE,Recomendada,Aprovada,6000,22000,0,28000
Faixa B,SA,420812/2023-7,Alcindo Neckel,CESME,RS,SU,Recomendada,Aprovada,0,15000,0,15000
Faixa A,SN,406022/2023-2,Mariana Santos Felisbino Mendes,UFMG,MG,SE,Recomendada,Aprovada,38699,6999.99,0,45698.99
Faixa A,SN,404553/2023-0,Marcio Lima Grossi,PUCRS,RS,SU,Recomendada,Aprovada,6900,0,0,6900
Faixa A,SN,402046/2023-4,Mariana Souza Lopes,UFPB,PB,NE,Recomendada,Aprovada,10100,7000,31200,48300
Faixa A,SN,421747/2023-4,Magno Conceicao das Merces,UNEB,BA,NE,Recomendada,Aprovada,85000,10000,27300,122300
Faixa A,SN,421472/2023-5,Nathalia Kelly de Araujo,IFRO,RO,NO,Recomendada,Aprovada,19500,30000,0,49500
Faixa A,SN,420136/2023-1,Dinair Ferreira Machado,UNESP,SP,SE,Recomendada,Aprovada,56000,10000,0,66000
Faixa A,SN,407171/2023-1,Dayana Rodrigues Farias,UFRJ,RJ,SE,Recomendada,Aprovada,51200,1600,51480,104280
Faixa A,SN,407153/2023-3,Marcelo Guimaraes Araujo,FIOCRUZ,RJ,SE,Recomendada,Aprovada,33500,34500,9240,77240
Faixa A,SN,420595/2023-6,Bruna Goncalves Cordeiro da Silva,UFPEL,RS,SU,Recomendada,Aprovada,93061,31000,25740,149801
Faixa A,SN,405537/2023-9,Alane Cabral Menezes de Oliveira,FEJAL,AL,NE,Recomendada,Aprovada,95500,0,0,95500
Faixa A,SN,421205/2023-7,Alberto Novaes Ramos Junior,UFC,CE,NE,Recomendada,Aprovada,30800,18700,0,49500
Faixa A,SN,421455/2023-3,Michael Pereira da Silva,FURG,RS,SU,Recomendada,Aprovada,16399.82,100000.18,33600,150000
Faixa A,SN,406065/2023-3,Bruno Luciano Carneiro Alves de Oliveira,UFMA,MA,NE,Recomendada,Aprovada,21740,0,9240,30980
Faixa A,SN,404221/2023-8,Maria Conceicao Oliveira Costa,UEFS,BA,NE,Recomendada,Aprovada,18837,13879,27720,60436
Faixa A,SN,421008/2023-7,Marta Citelli dos Reis,UERJ,RJ,SE,Recomendada,Aprovada,124000,8000,0,132000
Faixa A,SN,408274/2023-9,Antonio Germane Alves Pinto,URCA,CE,NE,Recomendada,Aprovada,42340,18000,20160,80500
Faixa A,SN,406675/2023-6,Michael Ferreira Machado,UFAL,AL,NE,Recomendada,Aprovada,35800,25000,18480,79280
Faixa A,SN,403090/2023-7,Ricardo Fernandes,UFGD,MS,CO,Recomendada,Aprovada,78500,0,0,78500
Faixa A,SN,403743/2023-0,Jose Patricio Bispo Junior,UFBA,BA,NE,Recomendada,Aprovada,69000,60000,46800,175800
Faixa A,SN,409261/2023-8,Roberta Carvalho de Figueiredo,UFSJ,MG,SE,Recomendada,Aprovada,131182.64,0,0,131182.64
Faixa A,SN,403126/2023-1,Julia Dubois Moreira,UFSC,SC,SU,Recomendada,Aprovada,99000,0,0,99000
Faixa A,SN,407973/2023-0,Maria da Conceicao Chaves de Lemos,UFPE,PE,NE,Recomendada,Aprovada,19634.4,28900.67,0,48535.07
Faixa A,SN,420253/2023-8,Ana Paula de Queiroz Mello,USC,SP,SE,Recomendada,Aprovada,41540,5000,9240,55780
Faixa A,SN,403027/2023-3,Ismael Henrique da Silveira,UFBA,BA,NE,Recomendada,Aprovada,0,5000,166400,171400
Faixa A,SN,420229/2023-0,Ilana Nogueira Bezerra,UECE,CE,NE,Recomendada,Aprovada,59000,7000,0,66000
Faixa A,SN,407351/2023-0,Mirian Carvalho de Souza,INCA,RJ,SE,Recomendada,Aprovada,95000,20000,0,115000
Faixa A,SN,421995/2023-8,Edwards Frazao Teixeira,FIOCRUZ,RJ,SE,Recomendada,Aprovada,102000,30000,0,132000
Faixa A,SN,421516/2023-2,Grasiela Piuvezam,UFRN,RN,NE,Recomendada,Aprovada,3619,45881,0,49500
Faixa A,SN,421302/2023-2,Claudia Cristina Alves Pereira,UNIFESP,SP,SE,Recomendada,Aprovada,33970,13847,0,47817
Faixa A,SN,421354/2023-2,Maria do Socorro Veloso de Albuquerque,UFPE,PE,NE,Recomendada,Aprovada,28405,20000,0,48405
Faixa A,SN,407387/2023-4,Roberto da Justa Pires Neto,UFC,CE,NE,Recomendada,Aprovada,52600,5000,0,57600
Faixa A,SN,409839/2023-0,Carla Soraya Costa Maia,SBD,CE,NE,Recomendada,Aprovada,59960,44800,0,104760
Faixa A,SN,406577/2023-4,Marcio Costa de Souza,UNEB,BA,NE,Recomendada,Aprovada,30000,10200,9240,49440
Faixa A,SN,406721/2023-8,Haroldo Jose de Matos,IEC,PA,NO,Recomendada,Aprovada,49500,0,0,49500
Faixa A,SN,407595/2023-6,Josiane Steluti,UNIFESP,SP,SE,Recomendada,Aprovada,28550,7930,4620,41100
Faixa A,SN,404937/2023-3,Luciana Dias de Oliveira,UFRGS,RS,SU,Recomendada,Aprovada,12500,21600,15400,49500
Faixa A,SN,408868/2023-6,Luciana Yuki Tomita,UNIFESP,SP,SE,Recomendada,Aprovada,26480,32920,51480,110880
Faixa A,SN,406016/2023-2,Andrey dos Santos,FCM,SP,SE,Recomendada,Aprovada,123600,0,0,123600
Faixa A,SN,406599/2023-8,Alexandre Medeiros de Figueiredo,UFPB,PB,NE,Recomendada,Aprovada,18420,2000,35280,55700
Faixa A,SN,408913/2023-1,Ana Paula Santana Coelho Almeida,UFES,ES,SE,Recomendada,Aprovada,15000,35000,0,50000
Faixa A,SN,403609/2023-2,Fabiana Andrea Moura,UFAL,AL,NE,Recomendada,Aprovada,92558,0,0,92558
Faixa A,SN,408360/2023-2,Jorginete de Jesus Damiao,UERJ,RJ,SE,Recomendada,Aprovada,7160,11050,62400,80610
Faixa A,SN,406410/2023-2,Nadia Maria Girao Saraiva de Almeida,UFC,CE,NE,Recomendada,Aprovada,31800,3300,27720,62820
Faixa A,SN,403633/2023-0,Antonio Augusto Ferreira Carioca,UNIFOR,CE,NE,Recomendada,Aprovada,41400,15000,0,56400
Faixa A,SN,409646/2023-7,Simone Renno Junqueira,USP,SP,SE,Recomendada,Aprovada,16000,5500,25410,46910
Faixa A,SN,422062/2023-5,Simone Santos Oliveira,FIOCRUZ,RJ,SE,Recomendada,Aprovada,0,0,74040,74040
Faixa A,SN,408192/2023-2,Julia Cristina Cardoso Carraro,UFOP,MG,SE,Recomendada,Aprovada,33100,49400,0,82500
Faixa A,SN,421607/2023-8,Victor Zuniga Dourado,UNIFESP,SP,SE,Recomendada,Aprovada,95500,20000,0,115500
Faixa A,SN,408774/2023-1,Aline Silva de Aguiar,UFF,RJ,SE,Recomendada,Aprovada,10000,39500,0,49500
Faixa A,SN,420696/2023-7,Carlos Eduardo Menezes Amaral,UNIVASF,PE,NE,Recomendada,Aprovada,9480,15000,3360,27840
Faixa A,SN,409385/2023-9,Jefferson Paixao Cardoso,UESB,BA,NE,Recomendada,Aprovada,22000,35000,0,57000
Faixa A,SN,404573/2023-1,Elizabethe Adriana Esteves,UFVJM,MG,SE,Recomendada,Aprovada,75025,0,0,75025
Faixa A,SN,407039/2023-6,Marcia Regina de Oliveira Pedroso,UFOB,BA,NE,Recomendada,Aprovada,0,0,18480,18480
Faixa A,SN,404210/2023-6,Marcia Goncalves Ferreira,UFMT,MT,CO,Recomendada,Aprovada,43580,45880,0,89460
Faixa A,SN,421314/2023-0,Eduardo Sodre de Souza,UNICAMP,SP,SE,Recomendada,Aprovada,65000,12000,27720,104720
Faixa A,SN,408035/2023-4,Fred Julio Costa Monteiro,LACEN-AP,AP,NO,Recomendada,Aprovada,39569.63,59430.37,0,99000
Faixa A,SN,403503/2023-0,Patricia de Fragas Hinnig,UFSC,SC,SU,Recomendada,Aprovada,47080,12000,0,59080
Faixa A,SN,406071/2023-3,Andreia Conceicao Milan Brochado Antoniolli da Silva,UFMS,MS,CO,Recomendada,Aprovada,67000,0,62400,129400
Faixa A,SN,409606/2023-5,Marcel de Moraes Pedroso,FIOCRUZ,RJ,SE,Recomendada,Aprovada,46200,0,68640,114840
Faixa A,SN,404205/2023-2,Valeria Troncoso Baltar,UFF,RJ,SE,Recomendada,Aprovada,62228,30272,0,92500
Faixa A,SN,409259/2023-3,Ricardo Fontes Macedo,UFAL,AL,NE,Recomendada,Aprovada,11000,15000,34320,60320
Faixa B,SN,405130/2023-6,Christovam Barcellos,FIOCRUZ,RJ,SE,Recomendada,Aprovada,47600.02,14000,195840,257440.02
Faixa B,SN,407334/2023-8,Tania Aparecida Sartori Sanchez Bachega,FMUSP,SP,SE,Recomendada,Aprovada,165000,0,0,165000
Faixa B,SN,407272/2023-2,Hercia Stampini Duarte Martino,UFV,MG,SE,Recomendada,Aprovada,11549.09,122000,0,133549.09
Faixa B,SN,402750/2023-3,Juraci Almeida Cesar,FURG,RS,SU,Recomendada,Aprovada,88240,24130,43680,156050
Faixa B,SN,408090/2023-5,Ligia Amparo da Silva Santos,UFBA,BA,NE,Recomendada,Aprovada,115695.45,24100,0,139795.45
Faixa B,SN,406191/2023-9,Mario Roberto Dal Poz,UERJ,RJ,SE,Recomendada,Aprovada,87505,46500,69300,203305
Faixa B,SN,409326/2023-2,Ademar Arthur Chioro dos Reis,UNISANTA,SP,SE,Recomendada,Aprovada,39391,14329,221280,275000
Faixa B,SN,403264/2023-5,Rosana Salles da Costa,UFRJ,RJ,SE,Recomendada,Aprovada,129040.15,25130,0,154170.15
Faixa B,SN,402909/2023-2,Adriana Falangola Benjamin Bezerra,FIOCRUZ,PE,NE,Recomendada,Aprovada,149560,15000,55440,220000
Faixa B,SN,403465/2023-0,Leila Denise Alves Ferreira Amorim,UFBA,BA,NE,Recomendada,Aprovada,109600,76673,18480,204753
Faixa B,SN,409034/2023-1,Gustavo Duarte Pimentel,UFG,GO,CO,Recomendada,Aprovada,89745.45,22000,0,111745.45
Faixa B,SN,404888/2023-2,Leonor Maria Pacheco Santos,UnB,DF,CO,Recomendada,Aprovada,45560,0,200640,246200
Faixa B,SN,409231/2023-1,Livia Melo Villar,UNESA,RJ,SE,Recomendada,Aprovada,159480,20000,93720,273200
Faixa B,SN,407035/2023-0,Maria Socorro de Araujo Dias,UVA-CE,CE,NE,Recomendada,Aprovada,70239.9,13200.1,105600,189040
Faixa B,SN,405911/2023-8,Patricia de Carvalho Padilha,UFRJ,RJ,SE,Recomendada,Aprovada,105552.3,50990,0,156542.3
Faixa B,SN,408523/2023-9,Christian Loret de Mola Zanatti,FURG,RS,SU,Recomendada,Aprovada,84520,40160,69120,193800
Faixa B,SN,405123/2023-0,Dirce Maria Lobo Marchioni,USP,SP,SE,Recomendada,Aprovada,159847.45,6900,0,166747.45
Faixa B,SN,403105/2023-4,Helena Alves de Carvalho Sampaio,UECE,CE,NE,Recomendada,Aprovada,30356,47700,27720,105776
Faixa B,SN,403896/2023-1,Rosa Maria Soares Madeira Domingues,INI/FIOCRUZ,RJ,SE,Recomendada,Aprovada,12750,0,145080,157830
Faixa B,SN,402754/2023-9,Marcio Alberto Torsoni,UNICAMP,SP,SE,Recomendada,Aprovada,98000,43900,0,141900
Faixa B,SN,420184/2023-6,Eliane Lopes Rosado,UFRJ,RJ,SE,Recomendada,Aprovada,169045.45,39280,0,208325.45
Faixa B,SN,403010/2023-3,Ligia Maria Vieira da Silva,ISC/UFBA,BA,NE,Recomendada,Aprovada,0,0,163800,163800
Faixa B,SN,421254/2023-8,Haroldo da Silva Ferreira,UFAL,AL,NE,Recomendada,Aprovada,105000,25000,0,130000
Faixa B,SN,402928/2023-7,Claudia Roberta de Castro Moreno,USP,SP,SE,Recomendada,Aprovada,86880,103000,52080,241960
Faixa B,SN,420574/2023-9,Marcia Thereza Couto Falcao,USP,SP,SE,Recomendada,Aprovada,58000,15000,175200,248200
Faixa B,SN,409224/2023-5,Patricia Faria Di Pietro,UFSC,SC,SU,Recomendada,Aprovada,98541.02,1998.98,0,100540
Faixa B,SN,408727/2023-3,Joao Felipe Mota,UFG,GO,CO,Recomendada,Aprovada,178150,2000,0,180150
Faixa A,VT,402269/2023-3,Paulo Cesar Magalhaes-Matos,IFAP,AP,NO,Recomendada,Aprovada,54820,66500,18480,139800
Faixa A,VT,403146/2023-2,Silvia Maria Caldeira Franco Andrade,UNOESTE,SP,SE,Recomendada,Aprovada,49500,0,0,49500
Faixa A,VT,406879/2023-0,Isabele da Costa Angelo,UFRRJ,RJ,SE,Recomendada,Aprovada,82500,0,0,82500
Faixa A,VT,408433/2023-0,Renato Porrozzi de Almeida,FIOCRUZ,RJ,SE,Recomendada,Aprovada,79500,3000,0,82500
Faixa A,VT,408677/2023-6,Alex Pauvolid-Correa,UFV,MG,SE,Recomendada,Aprovada,115000,32200,0,147200
Faixa A,VT,403407/2023-0,Thais Ferreira Feitosa,IFPB,PB,NE,Recomendada,Aprovada,48130,38500,27720,114350
Faixa A,VT,407419/2023-3,Joao Henrique Moreira Viana,FETA,DF,CO,Recomendada,Aprovada,16500,49500,0,66000
Faixa A,VT,408737/2023-9,Silvana Beutinger Marchioro,UFBA,BA,NE,Recomendada,Aprovada,49500,0,0,49500
Faixa A,VT,420740/2023-6,Andreas Lazaros Chryssafidis,UDESC,SC,SU,Recomendada,Aprovada,99000,0,0,99000
Faixa A,VT,404032/2023-0,Andre Tadeu Gotardo,FMVZ - USP,SP,SE,Recomendada,Aprovada,38820,6500,0,45320
Faixa A,VT,403721/2023-7,Hevila Oliveira Salles,EMBRAPA,CE,NE,Recomendada,Aprovada,49200,0,0,49200
Faixa A,VT,420205/2023-3,Jairo Torres Magalhaes Junior,UFOB,BA,NE,Recomendada,Aprovada,139200,0,0,139200
Faixa A,VT,403528/2023-2,Ana Carolina Borsanelli,UFG,GO,CO,Recomendada,Aprovada,60000,13000,0,73000
Faixa A,VT,403419/2023-9,Valeria Veras de Paula,UFERSA,RN,NE,Recomendada,Aprovada,71000,28000,0,99000
Faixa A,VT,409935/2023-9,Rafael Augusto Satrapa,UFAC,AC,NO,Recomendada,Aprovada,98565,0,0,98565
Faixa A,VT,405152/2023-0,Felipe Fornazari,GALILEU,SP,SE,Recomendada,Aprovada,49500,0,0,49500
Faixa A,VT,407872/2023-0,Andre Felipe Streck,UCS,RS,SU,Recomendada,Aprovada,71500,25000,0,96500
Faixa A,VT,401971/2023-6,Carlos Alberto do Nascimento Ramos,UFMS,MS,CO,Recomendada,Aprovada,69200,0,0,69200
Faixa A,VT,404268/2023-4,Andre Mariano Batista,UFRPE,PE,NE,Recomendada,Aprovada,68800,70000,0,138800
Faixa A,VT,420702/2023-7,Yame Fabres Robaina Sancler da Silva,UFV,MG,SE,Recomendada,Aprovada,11600,140000,0,151600
